DATE,CUSR0000SEHA
2009-11-01,248.778
2009-12-01,248.667
2010-01-01,248.721
2010-02-01,248.717
2010-03-01,248.854
2010-04-01,248.962
2010-05-01,249.066
2010-06-01,249.327
2010-07-01,249.458
2010-08-01,249.346
2010-09-01,249.663
2010-10-01,249.660
2010-11-01,250.182
2010-12-01,250.641
2011-01-01,251.142
2011-02-01,251.516
2011-03-01,251.905
2011-04-01,252.203
2011-05-01,252.584
2011-06-01,252.986
2011-07-01,253.423
2011-08-01,254.295
2011-09-01,254.895
2011-10-01,255.651
2011-11-01,256.207
2011-12-01,256.800
2012-01-01,257.267
2012-02-01,257.842
2012-03-01,258.335
2012-04-01,258.977
2012-05-01,259.481
2012-06-01,259.893
2012-07-01,260.476
2012-08-01,260.999
2012-09-01,261.620
2012-10-01,262.631
2012-11-01,263.137
2012-12-01,263.669
2013-01-01,264.245
2013-02-01,264.904
2013-03-01,265.603
2013-04-01,266.094
2013-05-01,266.841
2013-06-01,267.451
2013-07-01,267.870
2013-08-01,268.837
2013-09-01,269.315
2013-10-01,269.822
2013-11-01,270.387
2013-12-01,271.220
2014-01-01,271.918
2014-02-01,272.461
2014-03-01,273.341
2014-04-01,274.255
2014-05-01,275.013
2014-06-01,275.819
2014-07-01,276.663
2014-08-01,277.319
2014-09-01,278.149
2014-10-01,278.797
2014-11-01,279.758
2014-12-01,280.383
2015-01-01,281.179
2015-02-01,282.142
2015-03-01,283.032
2015-04-01,283.790
2015-05-01,284.574
2015-06-01,285.508
2015-07-01,286.494
2015-08-01,287.313
2015-09-01,288.444
2015-10-01,289.235
2015-11-01,289.922
2015-12-01,290.684
2016-01-01,291.617
2016-02-01,292.547
2016-03-01,293.425
2016-04-01,294.403
2016-05-01,295.394
2016-06-01,296.366
2016-07-01,297.273
2016-08-01,298.132
2016-09-01,299.099
2016-10-01,300.201
2016-11-01,301.160
2016-12-01,302.172
2017-01-01,303.075
2017-02-01,303.991
2017-03-01,304.834
2017-04-01,305.725
2017-05-01,306.761
2017-06-01,307.782
2017-07-01,308.597
2017-08-01,309.681
2017-09-01,310.419
2017-10-01,311.300
2017-11-01,312.211
2017-12-01,313.298
2018-01-01,314.388
2018-02-01,315.054
2018-03-01,315.862
2018-04-01,317.034
2018-05-01,317.887
2018-06-01,318.794
2018-07-01,319.797
2018-08-01,320.843
2018-09-01,321.696
2018-10-01,322.422
2018-11-01,323.495
2018-12-01,324.168
2019-01-01,325.184
2019-02-01,326.120
2019-03-01,327.494
2019-04-01,328.957
2019-05-01,329.745
2019-06-01,331.142
2019-07-01,332.066
2019-08-01,332.838
2019-09-01,334.004
2019-10-01,334.466
2019-11-01,335.330
